민원일자,민원위치,민원내용,위도,경도
2021-02-15,전라북도 완주군 이서면 금평리 821,영조물 공제보험으로 포트홀 사고를 변상하라,35.8186187,127.0571039
2021-02-17,전라북도 완주군 이서면 금평리 821,영조물 공제보험으로 포트홀 사고를 변상하라,35.8186187,127.0571039
2021-02-21,전라북도 진안군 정천면 월평리 산 93-7 일원,도로포장 불량,35.8572923,127.4393271
2021-02-22,전라북도 익산시 용안면 교동리 501-54,도로 파손으로 인한 복구 요청,36.1189515,126.9553309
2021-02-24,전라북도 익산시 성당면 성당리 609-1 (지방도 706호선),도로 침하로 화물차 운행시 전복의 위험이 있어 재포장 요청,36.1273152,126.9152925
2021-02-25,전라북도 완주군 이서면 금평리 821,영조물 공제보험으로 포트홀 사고를 변상하라(소극행정신고),35.8186187,127.0571039
2021-02-25,전라북도 익산시 낭산면 성남리 378-11,도로 파손으로 인한 복구 요청,36.050595,127.0198912
2021-02-27,전라북도 김제시 만경읍 몽산리 123-3일원 (지방도 702호선),소성변형으로 인한 재포장 요청,35.8559747,126.8124614
2021-03-02,전라북도 완주군 봉동읍 둔산리 산136-4일원,도로 파손으로 인한 차량 파손에 따른 보상 질의,35.967857,127.1275979
2021-03-05,전라북도 장수군 번암면 동화리 산 45 (지방도 743호선),도로재포장 요청,35.5590537,127.54801
2021-03-09,전라북도 완주군 이서면 이성리 481-7,도로 파손으로 인한 복구 요청,35.8033148,127.0475975
2021-03-13,"전라북도 군산시 나포면 옥곤리 497-1, 919 부근",과속방지턱 설치요청,36.0307958,126.8311805
2021-03-13,전라북도 군산시 나포면 옥곤리 699-1 부근,도로 파손으로 인한 복구 요청,36.0359978,126.8345113
2021-03-17,전라북도 순창군 복흥면 반월리 77-2,도로 파손으로 인한 복구 요청,35.4478086,126.9172641
2021-04-03,전라북도 완주군 구이면 광곡리 산182-1,도로 파손으로 인한 복구 요청,35.734323,127.1545541
2021-04-06,전라북도 익산시 함라면 신목리 1333-7 일원,과속방지턱 설치 요청,36.034841,126.8784988
2021-04-08,전라북도 김제시 황산면 쌍감리 980일원,도로 파손으로 인한 차량 파손에 따른 보상 질의,35.7890731,126.9467351
2021-04-10,전라북도 김제시 만경읍 장산리 25-4,도로 파손으로 인한 복구 요청,35.8589664,126.843821
2021-04-10,전라북도 장수군 장계면 오동리 572-3,도로 파손으로 인한 복구 요청,35.7106644,127.6264486
2021-04-16,전라북도 군산시 대야면 보덕리 614-6 일원,도로 파손으로 인한 복구 요청,35.9693441,126.8201597
2021-04-19,전라북도 완주군 고산면 소향리 373-2 일원,과속방지턱 노면표시 요청,35.9904113,127.2613983
2021-04-21,전라북도 장수군 번암면 동화리 1077,도로 파손으로 인한 복구 요청,35.5623394,127.5471036
2021-04-21,전라북도 장수군 번암면 동화리 1077-1,도로 파손으로 인한 복구 요청,35.5622932,127.5468115
2021-04-21,전라북도 전라북도 완주군 이서면 상개리 산139-4,도로 파손으로 인한 복구 요청,35.8222463,127.0326539
2021-04-22,전라북도 장수군 번암면 동화리 산 52-3,도로 파손으로 인한 복구 요청,35.5611117,127.5425491
2021-04-22,전라북도 장수군 번암면 동화리 산52-3,도로 파손으로 인한 복구 요청,35.5611117,127.5425491
2021-05-08,전라북도 김제시 진봉면 정당리 일원 (지방도 702호선),현장 불친절 민원,35.8477275,126.805779
2021-05-09,전라북도 부안군 상서면 가오마을 (지방도 736호선),과속방지턱 설치 요청,35.6865628,126.6786044
2021-05-11,전라북도 순창군 동계면 이동리 286-1,도로 종단방향 물길발생에 따른 위험,35.4671276,127.2597756
2021-05-17,전라북도 순창군 복흥면 답동리 886,도로 파손으로 인한 복구 요청,35.4467948,126.9849278
2021-05-20,전라북도 임실군 신평면 원천리 769 (지방도 745호선),과속방지턱 설치 요청,35.654089,127.2238206
2021-05-20,전라북도 완주군 화산면 화평리 산2-4,도로 파손으로 인한 복구 요청,36.044342,127.2207352
2021-05-23,전라북도 남원시 산내면 대정리 832-5 (국지도 60호선),과속방지턱 설치 요청,35.4280512,127.6212494
2021-05-23,전라북도 김제시 청하면 장신리 729-2,도로 파손으로 인한 복구 요청,35.888946,126.83186
2021-05-24,전라북도 남원시 산내면 대정리 833-6 (국지도 60호선),과속방지턱 설치 요청,35.4282375,127.6214204
2021-05-25,전라북도 남원시 대산면 옥율리 744 (지방도 745호선),도로재포장 요청,35.4516778,127.3356535
2021-06-03,전라북도 완주군 이서면 상개리 815 일원,도로 파손으로 인한 복구 요청,35.8198549,127.0332013
2021-06-04,김제 금구IC 회전교차로,도로 파손으로 인한 복구 요청,36.291291,127.388306
2021-06-05,전라북도 완주군 이서면 이문리 산150-8 일원,도로 파손으로 인한 복구 요청,35.8205534,127.0073037
2021-06-10,전라북도 완주군 이서면 이문리 산150-8,포트홀로 인한 타이어 파손 민원,35.8205534,127.0073037
2021-06-15,전라북도 김제시 만경읍 만경리 능제로 일원,도로 파손으로 인한 복구 요청,35.849571,126.8181075
2021-06-18,전라북도 고창군 상하면 자룡리 800,과속방지턱 설치 요청,35.4385904,126.4559302
2021-06-19,전라북도 완주군 동상면 사봉리 393 (국지도 55호선),과속방지턱 설치 요청,35.8796255,127.3109857
2021-06-20,전라북도 남원시 주천면 고기리 산 107-8,도로 파손으로 인한 복구 요청,35.3724821,127.515984
2021-06-23,김제 IC 사거리,도로 파손으로 인한 복구 요청,35.771731,127.008008
2021-06-25,전라북도 남원시 주천면 송치리 산 82-1 (국지도 60호선) ,도로재포장 요청,35.3875806,127.4134656
2021-07-04,김제 IC 사거리,도로 파손으로 인한 복구 요청,35.771731,127.008008
2021-07-04,전라북도 김제시 금구면 옥성리 714,도로 파손으로 인한 복구 요청,35.7817516,127.0028443
