feature,logistic_coefficient,logistic_abs_coefficient,random_forest_importance
days_since_last_repair,0.09820195714013143,0.09820195714013143,0.09600754973413553
freeze_thaw_14d,0.4062088565467845,0.4062088565467845,0.19922586171251064
has_past_repair,0.2715423819255282,0.2715423819255282,0.0431863914998124
rain_14d,-0.2501641315121954,0.2501641315121954,0.274476140985712
rain_7d,0.28917411968737944,0.28917411968737944,0.2343727521688929
sewer_old30_ratio,-0.04717423838852152,0.04717423838852152,0.050996450345932705
traffic_esal,0.005366884709080627,0.005366884709080627,0.10173485355300392
