노선명,구간명,AADT,승용차,버스,소형화물,중형화물,대형화물,평균교통량_계,평균교통량_비율,주말_승용차,주말_버스,주말_소형화물,주말_중형화물,주말_대형화물,주말교통량_계,주말교통량_비율,city,road_id,승용차_ESAL,버스_ESAL,소형화물_ESAL,중형화물_ESAL,대형화물_ESAL,traffic_esal,total_traffic,heavy_traffic,heavy_vehicle_ratio,traffic_score,total_sewer_length,old_sewer_length,old_sewer_ratio,average_sewer_age,sewer_score,date,min_temp,max_temp,precipitation,freeze_thaw,freeze_thaw_14d,freeze_score,rain_7d,rain_14d,rain_7d_score,rain_14d_score,rain_score,month,freeze_weight,rain_weight,sewer_weight,traffic_weight,freeze_contribution,rain_contribution,sewer_contribution,traffic_contribution,base_risk_score,interaction_bonus,risk_score,risk_level,main_risk_factor
 ,김제IC-전주시(0116-02),30038,23302,501,6494,804,66,31167,103.8,21792,395,4707,287,23,27204,90.6,전주시, |김제IC-전주시(0116-02),4.6604,426.852,25.976,1394.94,209.154,2061.5824000000002,31167,870,0.027914139955722398,58.46540973889049,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2024-01-01,-8.72,1.93,0.0,1,1.0,20,0.0,0.0,0.0,0.0,0.0,1,0.35,0.15,0.25,0.25,7.0,0.0,0.010123304357028405,14.616352434722623,21.626475739079652,0,21.626475739079652,안전,교통하중
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-22,16.53,28.93,7.9,0,0.0,0,7.9000000000000075,18.860000000000007,9.305064782096592,9.736706246773362,9.736706246773362,7,0.05,0.45,0.25,0.25,0.0,4.381517811048013,10.741523274066381,0.0,15.123041085114394,0,15.123041085114394,안전,하수관로 노후
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-23,19.79,27.97,0.0,0,0.0,0,7.9000000000000075,18.860000000000007,9.305064782096592,9.736706246773362,9.736706246773362,7,0.05,0.45,0.25,0.25,0.0,4.381517811048013,10.741523274066381,0.0,15.123041085114394,0,15.123041085114394,안전,하수관로 노후
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-24,22.32,31.64,0.0,0,0.0,0,7.9000000000000075,18.860000000000007,9.305064782096592,9.736706246773362,9.736706246773362,7,0.05,0.45,0.25,0.25,0.0,4.381517811048013,10.741523274066381,0.0,15.123041085114394,0,15.123041085114394,안전,하수관로 노후
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-25,22.01,29.67,6.09,0,0.0,0,13.990000000000007,24.950000000000003,16.47820965842168,12.88074341765617,16.47820965842168,7,0.05,0.45,0.25,0.25,0.0,7.415194346289756,10.741523274066381,0.0,18.156717620356137,0,18.156717620356137,안전,하수관로 노후
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-26,17.95,28.88,15.87,0,0.0,0,29.860000000000007,40.82000000000001,39.70925784238715,22.553713934929412,39.70925784238715,7,0.05,0.45,0.25,0.25,0.0,17.86916602907422,10.741523274066381,0.0,28.6106893031406,0,28.6106893031406,안전,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-27,18.04,28.61,8.99,0,0.0,0,38.85000000000001,42.96,54.80235492010094,25.181092694904848,54.80235492010094,7,0.05,0.45,0.25,0.25,0.0,24.66105971404542,10.741523274066381,0.0,35.4025829881118,0,35.4025829881118,주의,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-28,20.89,27.15,0.0,0,0.0,0,38.85000000000001,41.900000000000006,54.80235492010094,23.87968078575814,54.80235492010094,7,0.05,0.45,0.25,0.25,0.0,24.66105971404542,10.741523274066381,0.0,35.4025829881118,0,35.4025829881118,주의,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-29,16.41,25.59,2.97,0,0.0,0,33.92000000000001,41.82,46.509671993271674,23.78146101903008,46.509671993271674,7,0.05,0.45,0.25,0.25,0.0,20.929352396972252,10.741523274066381,0.0,31.670875671038633,0,31.670875671038633,주의,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-30,23.74,32.5,36.72,0,0.0,0,70.64000000000001,78.53999999999999,100.0,71.51187904967601,100.0,7,0.05,0.45,0.25,0.25,0.0,45.0,10.741523274066381,0.0,55.74152327406638,0,55.74152327406638,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-07-31,21.2,29.3,15.5,0,0.0,0,86.14000000000001,94.03999999999999,100.0,94.66413181242078,100.0,7,0.05,0.45,0.25,0.25,0.0,45.0,10.741523274066381,0.0,55.74152327406638,0,55.74152327406638,위험,누적강수
