top_percent,probability_cutoff,selected_rows,captured_potholes,precision,recall,lift_vs_random
1.0,0.913517511996245,1177,35,0.029736618521665252,0.19337016574585636,19.32715913198177
3.0,0.8563766739634974,3530,57,0.01614730878186969,0.3149171270718232,10.494858591708013
5.0,0.8006419944189599,5882,66,0.011220673240394424,0.36464088397790057,7.292817679558011
10.0,0.6514840909558091,11777,86,0.007302369024369534,0.47513812154696133,4.746136420037746
15.0,0.5998169303129214,17794,92,0.0051702821175677195,0.5082872928176796,3.3603977254732955
20.0,0.5487420638418563,23560,105,0.004456706281833617,0.580110497237569,2.896612856325451
30.0,0.5012631254511394,35400,129,0.0036440677966101693,0.712707182320442,2.3684427380840902
